Broker,Produto,Product Type,B,S
CASA A,$ based NK,Future,21430.0293255132,21461.962025316454
CASA A,10yr Note,Future,121345.61835801002,121290.91715976331
CASA A,Bean Oil,Future,3081.0,
CASA A,CAC 40,Future,5215.341584158416,
CASA A,Canadian Bonds,Future,136.1419736601419,137.36000000000016
CASA A,Canadian Bonds,Future Spread,,1.2800000000000005
CASA A,Canadian Dollar,Future,,7592.201219512195
CASA A,Copper,Future,29360.560030686614,29380.52807486631
CASA A,Copper,Future Spread,,20.0
CASA A,Corn,Future,3850.0,
CASA A,Cotton,Future,72.14,
CASA A,Crude Oil,Future,5746.0,
CASA A,DOL,Future,3744.9442584532976,
CASA A,Euro-FX,Future,,11357.5
CASA A,FESX,Future,3270.524630541872,
CASA A,ICE Brent,Future,67.52002587693967,67.3975888019282
CASA A,ICE Brent,Future Spread,,-0.1299999999999982
CASA A,IND,Future,98554.62945139557,
CASA A,Japanese Yen,Future,,9044.5
CASA A,Korean Won,Future,,8909.0
CASA A,Long Gilt,Future,127.39034985622271,124.28623938536153
CASA A,Long Gilt,Future Spread,-3.2699999999999987,-3.2650914677718963
CASA A,MSCI EAFE,Future,1866.9446753246734,1867.589473684208
CASA A,MSCI Emerg,Future,1059.0728222996484,1058.8004599816027
CASA A,Mexican Peso,Future,,52070.0
CASA A,Mini Nasdaq,Future,709217.5925925926,706695.5782312925
CASA A,Mini Russell,Future,158971.82266009852,158225.38686131386
CASA A,Mini S&P,Future,279107.4438202247,278429.889298893
CASA A,NY Cocoa,Future,2286.0,
CASA A,NY Gold,Future,,13323.0
CASA A,NY Sugar,Future,13.350000000000012,13.380000000000006
CASA A,NY Sugar,Future Spread,,0.030000000000000072
CASA A,New Zealand Dol,Future,,6840.0
CASA A,Palladium,Future,144500.0,144700.0
CASA A,Palladium,Future Spread,,200.0
CASA A,Russian Ruble,Future,15260.0,
CASA A,Swiss Franc,Future,10020.0,
CASA A,Toronto 60,Future,952.5281070745674,955.8513626834425
CASA B,$ based NK,Future,21470.0,
CASA B,10yr Note,Future,122030.0,121292.1390408345
CASA B,2yr Note,Future,106.01,
CASA B,5yr Note,Future,114190.0,
CASA B,British Pound,Future,13070.0,
CASA B,CAC 40,Future,5215.013471901462,
CASA B,Canadian Bonds,Future,,136.3999999999998
CASA B,Canadian Dollar,Future,,7591.786871961102
CASA B,Copper,Future,29377.26975832789,29400.0
CASA B,Copper,Future Spread,,25.0
CASA B,DOL,Future,3741.133898930284,
CASA B,FDAX,Future,11460.321951219512,
CASA B,FESX,Future,3269.5435791645177,
CASA B,FGBL,Future,166.63173113506642,166.56999999999982
CASA B,FGBM,Future,,133.12999999999985
CASA B,FGBS,Future,,111.875
CASA B,FOAT,Future,153.4951132174832,
CASA B,FSMI,Future,9273.350210970464,
CASA B,FTSE 100,Future,7157.469585253456,
CASA B,Heating Oil,Future,20348.0,
CASA B,ICE Brent,Future,67.6600000000001,67.52000000000004
CASA B,ICE Brent,Future Spread,,-0.13999999999999974
CASA B,IND,Future,98207.29886863608,
CASA B,India Rupee,Future,14063.0,
CASA B,Korean Won,Future,,8909.0
CASA B,Lean Hogs,Future,56600.0,
CASA B,Live Cattle,Future,,128850.0
CASA B,Long Gilt,Future,127.45833233711998,
CASA B,MSCI EAFE,Future,1869.6000000000013,
CASA B,Mini Russell,Future,158863.86934673367,
CASA B,Mini S&P,Future,278916.8604651163,
CASA B,NY Coffee,Future,99.59999999999988,
CASA B,NY Sugar,Future,,13.270000000000213
CASA B,Natural Gas,Future,2719.0,
CASA B,Palladium,Future,144500.0,144743.60613810743
CASA B,Palladium,Future Spread,,200.0
CASA B,Platinum,Future,8449.0,
CASA B,RBOB,Future,16098.0,
CASA B,Soybeans,Future,9254.0,
CASA B,Swedish Krona,Future,,10710.0
CASA B,Toronto 60,Future,956.5999999999998,
CASA B,Wheat,Future,,4926.0
